#Exchange transfusion threshold for infants GA 37 weeks  with no neurological risk factors ,,
#All TSB threshold value beyound 151 hours is 27 mg/dL,,
#HOL stands for hours of life and TSB is total serum bilirubin,,
"#Data at HOL 21,45,69,93,117,141,165,189,213,237,261,285,309,333 are not available, they are imputated by averaging 2 nearest data",,
#datatype   int  float,,
HOL ,TSB ,
0,,
1,17.0,
2,17.1,
3,17.3,
4,17.5,
5,17.6,
6,17.8,
7,17.9,
8,18.1,
9,18.2,
10,18.4,
11,18.5,
12,18.7,
13,18.8,
14,18.9,
15,19.1,
16,19.2,
17,19.4,
18,19.6,
19,19.8,
20,19.8,
21,19.9,
22,19.9,
23,20.1,
24,20.3,
25,20.5,
26,20.6,
27,20.7,
28,20.8,
29,21.0,
30,21.1,
31,21.2,
32,21.3,
33,21.5,
34,21.6,
35,21.7,
36,21.8,
37,21.9,
38,22.1,
39,22.2,
40,22.3,
41,22.4,
42,22.5,
43,22.6,
44,22.7,
45,22.8,
46,22.8,
47,22.9,
48,23.1,
49,23.2,
50,23.3,
51,23.4,
52,23.5,
53,23.6,
54,23.7,
55,23.8,
56,23.9,
57,24.0,
58,24.1,
59,24.2,
60,24.3,
61,24.4,
62,24.5,
63,24.5,
64,24.6,
65,24.7,
66,24.8,
67,24.9,
68,24.9,
69,25.0,
70,25.0,
71,25.1,
72,25.2,
73,25.3,
74,25.4,
75,25.5,
76,25.5,
77,25.6,
78,25.7,
79,25.7,
80,25.8,
81,25.8,
82,25.9,
83,26.0,
84,26.0,
85,26.1,
86,26.1,
87,26.2,
88,26.2,
89,26.3,
90,26.3,
91,26.4,
92,26.4,
93,26.5,
94,26.5,
95,26.5,
96,26.6,
97,26.6,
98,26.6,
99,26.6,
100,26.6,
101,26.6,
102,26.6,
103,26.6,
104,26.6,
105,26.6,
106,26.6,
107,26.7,
108,26.7,
109,26.7,
110,26.7,
111,26.7,
112,26.7,
113,26.7,
114,26.7,
115,26.7,
116,26.7,
117,26.7,
118,26.7,
119,26.7,
120,26.7,
121,26.7,
122,26.8,
123,26.8,
124,26.8,
125,26.8,
126,26.8,
127,26.8,
128,26.8,
129,26.8,
130,26.8,
131,26.8,
132,26.8,
133,26.8,
134,26.8,
135,26.8,
136,26.8,
137,26.8,
138,26.9,
139,26.9,
140,26.9,
141,26.9,
142,26.9,
143,26.9,
144,26.9,
145,26.9,
146,26.9,
147,26.9,
148,26.9,
149,26.9,
150,26.9,
151,26.9,
152,26.9,
153,26.9,
154,27.0,
155,27.0,
156,27.0,
157,27.0,
158,27.0,
159,27.0,
160,27.0,
161,27.0,
162,27.0,
163,27.0,
164,27.0,
165,27.0,
166,27.0,
167,27.0,
168,27.0,
169,27.0,
170,27.0,
171,27.0,
172,27.0,
173,27.0,
174,27.0,
175,27.0,
176,27.0,
177,27.0,
178,27.0,
179,27.0,
180,27.0,
181,27.0,
182,27.0,
183,27.0,
184,27.0,
185,27.0,
186,27.0,
187,27.0,
188,27.0,
189,27.0,
190,27.0,
191,27.0,
192,27.0,
193,27.0,
194,27.0,
195,27.0,
196,27.0,
197,27.0,
198,27.0,
199,27.0,
200,27.0,
201,27.0,
202,27.0,
203,27.0,
204,27.0,
205,27.0,
206,27.0,
207,27.0,
208,27.0,
209,27.0,
210,27.0,
211,27.0,
212,27.0,
213,27.0,
214,27.0,
215,27.0,
216,27.0,
217,27.0,
218,27.0,
219,27.0,
220,27.0,
221,27.0,
222,27.0,
223,27.0,
224,27.0,
225,27.0,
226,27.0,
227,27.0,
228,27.0,
229,27.0,
230,27.0,
231,27.0,
232,27.0,
233,27.0,
234,27.0,
235,27.0,
236,27.0,
237,27.0,
238,27.0,
239,27.0,
240,27.0,
241,27.0,
242,27.0,
243,27.0,
244,27.0,
245,27.0,
246,27.0,
247,27.0,
248,27.0,
249,27.0,
250,27.0,
251,27.0,
252,27.0,
253,27.0,
254,27.0,
255,27.0,
256,27.0,
257,27.0,
258,27.0,
259,27.0,
260,27.0,
261,27.0,
262,27.0,
263,27.0,
264,27.0,
265,27.0,
266,27.0,
267,27.0,
268,27.0,
269,27.0,
270,27.0,
271,27.0,
272,27.0,
273,27.0,
274,27.0,
275,27.0,
276,27.0,
277,27.0,
278,27.0,
279,27.0,
280,27.0,
281,27.0,
282,27.0,
283,27.0,
284,27.0,
285,27.0,
286,27.0,
287,27.0,
288,27.0,
289,27.0,
290,27.0,
291,27.0,
292,27.0,
293,27.0,
294,27.0,
295,27.0,
296,27.0,
297,27.0,
298,27.0,
299,27.0,
300,27.0,
301,27.0,
302,27.0,
303,27.0,
304,27.0,
305,27.0,
306,27.0,
307,27.0,
308,27.0,
309,27.0,
310,27.0,
311,27.0,
312,27.0,
313,27.0,
314,27.0,
315,27.0,
316,27.0,
317,27.0,
318,27.0,
319,27.0,
320,27.0,
321,27.0,
322,27.0,
323,27.0,
324,27.0,
325,27.0,
326,27.0,
327,27.0,
328,27.0,
329,27.0,
330,27.0,
331,27.0,
332,27.0,
333,27.0,
334,27.0,
335,27.0,
336,27.0,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
