#Phototherapy threshold for infants GA 36 weeks with at least one neurological risk factors ,,,
#HOL stands for hours of life and TSB is total serum bilirubin,,,
"#Data at HOL 21,45,69,93,117,141,165,189,213,237,261,285,309,333 are not available, they are imputated by averaging 2 nearest data",,,
#datatype   int  float,,,
HOL ,TSB,,
0,,,
1,5.4,,
2,5.6,,
3,5.8,,
4,6.0,,
5,6.2,,
6,6.3,,
7,6.5,,
8,6.7,,
9,6.9,,
10,7.1,,
11,7.3,,
12,7.4,,
13,7.6,,
14,7.8,,
15,8.0,,
16,8.1,,
17,8.3,,
18,8.5,,
19,8.6,,
20,8.8,,
21,8.9,,
22,9.0,,
23,9.1,,
24,9.4,,
25,9.6,,
26,9.8,,
27,9.9,,
28,10.1,,
29,10.2,,
30,10.4,,
31,10.5,,
32,10.7,,
33,10.8,,
34,11.0,,
35,11.1,,
36,11.2,,
37,11.4,,
38,11.5,,
39,11.7,,
40,11.8,,
41,11.9,,
42,12.1,,
43,12.2,,
44,12.3,,
45,12.4,,
46,12.5,,
47,12.6,,
48,12.8,,
49,13.0,,
50,13.1,,
51,13.2,,
52,13.3,,
53,13.4,,
54,13.5,,
55,13.7,,
56,13.8,,
57,13.9,,
58,14.0,,
59,14.1,,
60,14.2,,
61,14.3,,
62,14.4,,
63,14.5,,
64,14.6,,
65,14.7,,
66,14.8,,
67,14.9,,
68,15.0,,
69,15.1,,
70,15.1,,
71,15.2,,
72,15.4,,
73,15.4,,
74,15.5,,
75,15.6,,
76,15.7,,
77,15.8,,
78,15.8,,
79,15.9,,
80,16.0,,
81,16.1,,
82,16.1,,
83,16.2,,
84,16.3,,
85,16.4,,
86,16.4,,
87,16.5,,
88,16.6,,
89,16.6,,
90,16.7,,
91,16.7,,
92,16.8,,
93,16.8,,
94,16.8,,
95,16.9,,
96,17.0,,
97,17.0,,
98,17.0,,
99,17.0,,
100,17.0,,
101,17.0,,
102,17.0,,
103,17.0,,
104,17.1,,
105,17.1,,
106,17.1,,
107,17.1,,
108,17.1,,
109,17.1,,
110,17.1,,
111,17.1,,
112,17.1,,
113,17.1,,
114,17.1,,
115,17.1,,
116,17.1,,
117,17.1,,
118,17.1,,
119,17.1,,
120,17.1,,
121,17.1,,
122,17.1,,
123,17.1,,
124,17.2,,
125,17.2,,
126,17.2,,
127,17.2,,
128,17.2,,
129,17.2,,
130,17.2,,
131,17.2,,
132,17.2,,
133,17.2,,
134,17.2,,
135,17.2,,
136,17.2,,
137,17.2,,
138,17.2,,
139,17.2,,
140,17.2,,
141,17.2,,
142,17.2,,
143,17.2,,
144,17.3,,
145,17.3,,
146,17.3,,
147,17.3,,
148,17.3,,
149,17.3,,
150,17.3,,
151,17.3,,
152,17.3,,
153,17.3,,
154,17.3,,
155,17.3,,
156,17.3,,
157,17.3,,
158,17.3,,
159,17.3,,
160,17.3,,
161,17.3,,
162,17.3,,
163,17.4,,
164,17.4,,
165,17.4,,
166,17.4,,
167,17.4,,
168,17.4,,
169,17.4,,
170,17.4,,
171,17.4,,
172,17.4,,
173,17.4,,
174,17.4,,
175,17.4,,
176,17.4,,
177,17.4,,
178,17.4,,
179,17.4,,
180,17.4,,
181,17.4,,
182,17.5,,
183,17.5,,
184,17.5,,
185,17.5,,
186,17.5,,
187,17.5,,
188,17.5,,
189,17.5,,
190,17.5,,
191,17.5,,
192,17.5,,
193,17.5,,
194,17.5,,
195,17.5,,
196,17.5,,
197,17.5,,
198,17.5,,
199,17.5,,
200,17.5,,
201,17.5,,
202,17.6,,
203,17.6,,
204,17.6,,
205,17.6,,
206,17.6,,
207,17.6,,
208,17.6,,
209,17.6,,
210,17.6,,
211,17.6,,
212,17.6,,
213,17.6,,
214,17.6,,
215,17.6,,
216,17.6,,
217,17.6,,
218,17.6,,
219,17.6,,
220,17.6,,
221,17.7,,
222,17.7,,
223,17.7,,
224,17.7,,
225,17.7,,
226,17.7,,
227,17.7,,
228,17.7,,
229,17.7,,
230,17.7,,
231,17.7,,
232,17.7,,
233,17.7,,
234,17.7,,
235,17.7,,
236,17.7,,
237,17.7,,
238,17.7,,
239,17.7,,
240,17.7,,
241,17.8,,
242,17.8,,
243,17.8,,
244,17.8,,
245,17.8,,
246,17.8,,
247,17.8,,
248,17.8,,
249,17.8,,
250,17.8,,
251,17.8,,
252,17.8,,
253,17.8,,
254,17.8,,
255,17.8,,
256,17.8,,
257,17.8,,
258,17.8,,
259,17.8,,
260,17.9,,
261,17.9,,
262,17.9,,
263,17.9,,
264,17.9,,
265,17.9,,
266,17.9,,
267,17.9,,
268,17.9,,
269,17.9,,
270,17.9,,
271,17.9,,
272,17.9,,
273,17.9,,
274,17.9,,
275,17.9,,
276,17.9,,
277,17.9,,
278,17.9,,
279,17.9,,
280,18.0,,
281,18.0,,
282,18.0,,
283,18.0,,
284,18.0,,
285,18.0,,
286,18.0,,
287,18.0,,
288,18.0,,
289,18.0,,
290,18.0,,
291,18.0,,
292,18.0,,
293,18.0,,
294,18.0,,
295,18.0,,
296,18.0,,
297,18.0,,
298,18.0,,
299,18.1,,
300,18.1,,
301,18.1,,
302,18.1,,
303,18.1,,
304,18.1,,
305,18.1,,
306,18.1,,
307,18.1,,
308,18.1,,
309,18.1,,
310,18.1,,
311,18.1,,
312,18.1,,
313,18.1,,
314,18.1,,
315,18.1,,
316,18.1,,
317,18.1,,
318,18.1,,
319,18.2,,
320,18.2,,
321,18.2,,
322,18.2,,
323,18.2,,
324,18.2,,
325,18.2,,
326,18.2,,
327,18.2,,
328,18.2,,
329,18.2,,
330,18.2,,
331,18.2,,
332,18.2,,
333,18.2,,
334,18.2,,
335,18.2,,
336,18.2,,
